"text","spam"
"jurong point crazy available bugis great world la buffet cine got amore wat",0
"ok lar joking wif oni",0
"free entry wkly comp win fa cup final tkts st text fa receive entry question std txt rate apply",1
"dun say early hor say",0
"nah don think goes usf lives",0
"freemsg hey darling week word like fun tb ok xxx std chgs send rcv",1
"brother like speak treat like aids patent",0
"request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune",0
"winner valued network customer selected receivea prize reward claim claim code kl valid hours",1
"mobile months entitled update latest colour mobiles camera free mobile update free",1
"gonna home soon don want talk stuff anymore tonight ve cried today",0
"chances win cash pounds txt csh send cost day days tsandcs apply reply hl info",1
"urgent won week free membership prize jackpot txt word claim lccltd pobox ldnw rw",1
"ve searching right words thank breather promise wont help granted fulfil promise wonderful blessing times",0
"date sunday",0
"xxxmobilemovieclub use credit click wap link txt message click xxxmobilemovieclub com qjkgighjjgcbl",1
"oh watching",0
"eh remember spell yes did naughty make wet",0
"fine way feel way gota",0
"england macedonia dont miss goals team news txt ur national team england try wales scotland txt poboxox wq",1
"seriously spell",0
"going try months ha ha joking",0
"pay lar da stock comin",0
"aft finish lunch str lor ard smth lor finish ur lunch",0
"ffffffffff alright way meet sooner",0
"just forced eat slice really hungry tho sucks mark getting worried knows sick turn pizza lol",0
"lol convincing",0
"did catch bus frying egg did make tea eating mom left dinner feel love",0
"amp packing car ll let know room",0
"ahhh work vaguely remember does feel like lol",0
"wait clear sure sarcastic doesn want live",0
"yeah got apologetic fallen actin like spoilt child got caught till won doing badly cheers",0
"tell",0
"fear fainting housework just did quick cuppa",0
"thanks subscription ringtone uk mobile charged month confirm replying yes reply charged",1
"yup ok home look timings msg xuhui going learn nd lesson",0
"oops ll let know roommate",0
"letter car",0
"lor decide",0
"hello did saturday just texting decided tomo trying invite",0
"pls ahead watts just wanted sure great weekend abiola",0
"did forget tell want need crave love sweet arabian steed mmmmmm yummy",0
"rodger burns msg tried reply sms free nokia mobile free camcorder delivery tomorrow",1
"seeing",0
"great hope like man endowed lt gt inches",0
"calls messages missed calls",0
"didn hep immunisation nigeria",0
"fair going",0
"yeah hopefully tyler maybe ask bit",0
"don know stubborn didn want hospital kept telling mark weak sucker hospitals weak suckers",0
"thinked time saw class",0
"gram usually runs like lt gt half eighth smarter gets second gram lt gt",0
"fyi ride early tomorrow morning crashing place tonight",0
"wow realized embarassed accomodations thought liked doing best happy cave sorry didn don sorry offered sorry room embarassing",0
"sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv",1
"know mallika sherawat did yesterday lt url gt",0
"congrats year special cinema pass suprman matrix starwars free bx ip pm dont miss",1
"sorry ll later meeting",0
"tell reached",0
"yes gauti sehwag odi series",0
"gonna pick burger way home pain killing",0
"ha ha ha good joke girls situation seekers",0
"checking iq",0
"sorry roommates took forever ok come",0
"ok lar double check wif da hair dresser said wun cut short said cut look nice",0
"valued customer pleased advise following recent review mob awarded bonus prize",1
"today song dedicated day song dedicate send ur valuable frnds rply",0
"urgent ur awarded complimentary trip eurodisinc trav aco entry claim txt dis morefrmmob shracomorsglsuplt ls aj",1
"did hear new divorce barbie comes ken stuff",1
"plane month end",0
"wah lucky man save money hee",0
"finished class",0
"hi babe im home wanna xx",0
"did performed",0
"waiting machan free",0
"thats cool gentleman treat dignity respect",0
"like peoples shy pa",0
"does operate lt gt",0
"looking job ta earn",0
"sorry ll later",0
"did just ah",0
"ok way home hi hi",0
"place man",0
"yup stop",0
"later don network urgnt sms",0
"real getting yo need tickets jacket used multis",0
"yes started send requests make pain came bed double coins factory gotta cash nitros",0
"really tonight babe",0
"ela kano il download come wen ur free",0
"yeah don stand close tho ll catch",0
"sorry pain ok meet night spent late afternoon casualty means haven stuff moro includes time sheets sorry",0
"smile pleasure smile pain smile trouble pours like rain smile sum hurts smile becoz loves smiling",0
"customer service representative pm won guaranteed cash prize",1
"havent planning buy later check lido got afternoon finish work",0
"free ringtone waiting collected simply text password mix verify usher britney fml po box mk ppw",1
"watching telugu movie wat abt",0
"finish loads loans pay",0
"hi wk ok hols yes bit run forgot hairdressers appointment need home shower does cause prob",0
"cup coffee animation",0
"don text anymore say",0
"okay ur price long legal wen pick ave ams xx",0
"looking car buy gone driving test",0
"wow right didn mean guess gave boston men changed search location nyc changed cuz signin page says boston",0
"umma life vava umma love lot dear",0
"thanks lot wishes birthday thanks making birthday truly memorable",0
"aight ll hit cash",0
"ip address test considering computer isn minecraft server",0
"know grumpy old people mom like better lying play jokes",0
"dont worry guess busy",0
"plural noun research",0
"going dinner msg",0
"ok wif cos like try new things scared dun like mah cos said loud",0
"gent trying contact weekends draw shows won prize guaranteed claim code valid hrs ppm",1
"wa ur openin sentence formal fine juz tt eatin puttin weight haha anythin special happened",0
"entered cabin pa said happy day boss felt special askd lunch lunch invited apartment went",0
"winner specially selected receive holiday flights speak live operator claim min",1
"goodo yes speak friday egg potato ratio tortilla needed",0
"hmm uncle just informed paying school directly pls buy food",0
"private account statement shows unredeemed bonus points claim identifier code expires",1
"urgent mobile awarded bonus caller prize final try contact landline box wr ppm",1
"new address apples pairs malarky",0
"todays voda numbers ending selected receive award match quoting claim code standard rates app",1
"going sao mu today",0
"predict wat time ll finish buying",0
"good stuff",0
"just know yetunde hasn sent money just sent text bother sending dont involve shouldn imposed place apologise",0
"room",0
"hey girl hope del bak long time sum time lucyxx",0
"does cost",0
"home",0
"dear tmorrow pls accomodate",0
"answer question",0
"sunshine quiz wkly win sony dvd player know country algarve txt ansr sp tyrone",1
"want laid tonight want real dogging locations sent direct ur mob join uk largest dogging network bt txting gravel nt ec msg",1
"haf msn",0
"meet",0
"check rooms befor activities",0
"ll rcv msgs chat svc free hardcore services text age verify yr network try",1
"got lazy type forgot lect saw pouch like nice",0
"text way",0
"sir waiting mail",0
"swt thought nver tired doing little things lovable persons coz somtimes little things occupy biggest hearts gud ni",0
"know pls open",0
"yes ya dot",0
"whats staff taking class",0
"freemsg haven replied text randy sexy female live local luv hear netcollex msg reply stop end",1
"ummma check life begin qatar pls pray hard",0
"deleted contact",0
"sindu got job birla soft",0
"wine flowing nevering",0
"yup thk cine better cos need plaza mah",0
"ok ur typical reply",0
"dirt floor windows shirt open mouth comes flowing dream world half chores time joy lots tv shows ll guess like things just exist like rain hail mist time",0
"aaooooright work",0
"leaving house",0
"hello love doing did interview today happy good boy think missing",0
"customer service annoncement new years delivery waiting arrange delivery",1
"winner specially selected receive cash holiday flights speak live operator claim",1
"safe need miss envy real life",0
"new car house parents new job hand",0
"love excited day spend make happy",0
"pls stop bootydelious inviting friend reply yes stop send stop frnd",1
"bangbabes ur order way receive service msg download ur content goto wap bangb tv ur mobile internet service menu",1
"place ur points cultures module",0
"urgent trying contact weekends draw shows won prize guaranteed claim code valid hrs",1
"hi frnd best way avoid missunderstding wit beloved",0
"great escape fancy bridge needs lager tomo",0
"yes completely form clark utter waste",0
"sir need axis bank account bank address",0
"hmmm thk sure got time hop ard ya free abt muz discuss liao",0
"time coming later",0
"bloody hell believe forgot surname mr ill clue spanish begins",0
"gonna finish bath good fine night",0
"let know ve got money carlos make",0
"going mall",0
"turns friends staying won til lt gt feel free ahead smoke lt gt worth",0
"text doesnt reply let know log",0
"hi just spoke maneesha like know satisfied experience reply toll free yes",0
"lifted hopes offer money need especially end month approaches hurts studying anyways gr weekend",0
"lol trust",0
"ok gentleman treat dignity respect",0
"guys close",0
"going great bye",0
"hello handsome finding job lazy working getting net mummy boytoy does miss",0
"haha awesome minute",0
"customer service representative freephone pm won guaranteed cash prize",1
"got xmas radio times",0
"jus reached home bathe sis using net tell finishes",0
"unique th august",1
"sorry ve joined league people dont touch mean great deal friend times great personal cost great week",0
"hi finally completed course",0
"stop suggest stays able ors stool",0
"doing hope ve settled new school year just wishin gr day",0
"gud mrng dear hav nice day",0
"did got persons story",0
"hamster dead hey tmr meet pm orchard mrt",0
"hi kate evening hope tomorrow bit bloody babyjontet txt xxx",0
"enc lt gt",0
"sent lt gt bucks",0
"hello darlin ive finished college txt finish love kate xxx",0
"account refilled successfully inr lt decimal gt keralacircle prepaid account balance rs lt decimal gt transaction id kr lt gt",0
"goodmorning sleeping ga",0
"alter ok",0
"say like dat dun buy ericsson oso oredi lar",0
"aight yo dats straight dogg",0
"connection today lt decimal gt refund",0
"shoot big loads ready",0
"bruv hope great break rewarding semester",0
"home chat",0
"good study",0
"yup noe leh",0
"sounds great home",0
"finally match heading draw prediction",0
"tired haven slept past nights",0
"easy ah sen got selected means good",0
"exam march",0
"yeah think use gt atm register sure help let know sure ready",0
"ok prob ur time",0
"os called ubandu run installing hard disk use os copy important files repair shop",0
"say leh course happen lar say romantic jus bit lor thk nite scenery nice leh",0
"new mobiles txt nokia collect today optout gbp mtmsg",1
"really appreciate just need talk",0
"meet ur dream partner soon ur career flyng start free txt horo followed ur star sign horo aries",1
"hey company elama po mudyadhu",0
"life strict teacher bcoz teacher teaches lesson amp conducts exam life conducts exam amp teaches lessons happy morning",0
"dear good morning",0
"gandhipuram walk cross cut road right lt gt street road turn right",0
"dear going rubber place",0
"sorry battery died yeah",0
"yes tv available work place",0
"text meet sexy today date flirt join just reply age sam msg recd thirtyeight pence",1
"printed oh lt gt come upstairs",0
"ill little closer like bus stop street",0
"wil reach",0
"new theory argument wins situation loses person dont argue ur friends just kick amp say correct",0
"secret admirer looking make contact reveal thinks ur special",1
"tomarrow final hearing laptop case",0
"pleassssssseeeeee tel avent sportsx",0
"okay just shining meant signing sounds better",0
"told dat baig face watches really like watch gave cos fr thanx dat ve today touched",0
"don remember old commercial",0
"late said website didn dont slippers",0
"asked ok",0
"kallis wont bat nd innings",0
"didnt work oh ok goodnight ll fix ready time wake dearly missed good night sleep",0
"congratulations ur awarded cd vouchers gift guaranteed free entry wkly draw txt music tncs",1
"ranjith cal drpd deeraj deepak min hold",0
"wen ur lovable bcums angry wid dnt seriously coz angry childish true way showing deep affection care luv kettoda manda nice day da",0
"doing",0
"ups days shipping company takes wks way usps takes week gets lag bribe nipost stuff",0
"lemme know ready",0
"don necessarily expect just headin",0
"mmm yummy babe nice jolt suzy",0
"lover need",0
"tried contact reply offer video handset anytime networks mins unlimited text camcorder reply",1
"parked mini coming today think",0
"yup",0
"going shopping cos sis dun disturb liao",0
"luton ring ur",0
"hey really horny want chat naked text hot text charged pm unsubscribe text stop",1
"dint come",0
"wana plan trip sometme",0
"sure trying hold",0
"ur ringtone service changed free credits club mobiles com choose content stop txt club stop wk club po box mk wt",1
"evo just download flash jealous",0
"ringtone club uk singles chart mobile week choose quality ringtone message free charge",1
"come mu sorting narcotics situation",0
"night ended day morning come special way smile like sunny rays leaves worries blue blue bay",0
"hmv bonus special pounds genuine hmv vouchers won just answer easy questions play send hmv info",1
"usf guess car",0
"objection bf coming",0
"thanx",0
